Provincia,Ratio_2020_2019,Pct_Pared_Ladrillo,Pct_Techo_Concreto,Pct_Pisos_Solicitados,Pct_Pisos_Riqueza,Indice_Aritmetico,Indice_Algebraico,Ratio_Keiko_Castillo
ABANCAY,1.3831967213114753,38.5807953918745,30.773944481892272,88.68190452846375,11.318095471536251,26.890945115101008,-1.221332420965686,0.3471464249375636
ACOBAMBA,1.5263157894736843,3.866714183891661,3.1450463292943693,99.31397006414824,0.6860299358517494,2.5659301496792595,1.3101136762419638,0.14779643231899264
ACOMAYO,0.8278688524590164,1.448225923244026,0.6517016654598118,99.88414192614049,0.11585807385952762,0.7385952208544552,1.493812534771781,0.07528667457493081
AIJA,3,0.7727975270479135,0.46367851622874806,99.79392065945387,0.2060793405461112,0.4808517946075909,1.5106782056468038,0.607741935483871
ALTO AMAZONAS,1.5206611570247934,34.394107340794505,4.934386956055351,94.76883469803695,5.231165301963031,14.853219866270962,0.17596978133803226,0.4476825465103775
AMBO,1.8243243243243243,17.949968643300117,13.587903282001252,97.17092885513205,2.829071144867953,11.455647690056445,0.4594675117630751,0.47772004408754526
ANDAHUAYLAS,1.5,22.124200822718937,17.1432819547009,95.83188779303168,4.168112206968331,14.478531661462725,0.14301104982935825,0.20737686139747996
ANGARAES,3.338235294117647,11.722607886638515,10.126672869104702,98.43984827882343,1.5601517211765523,7.803144158973257,0.8189064572100697,0.12643729587043084
ANTA,1.1840796019900497,11.605590262124045,6.318026663231789,98.27397436723128,1.7260256327687244,6.549880852708185,0.9387083835360366,0.13356591876580354
ANTABAMBA,1.4642857142857142,2.21606648199446,1.007302946361118,99.87408713170484,0.1259128682951456,1.116427432216908,1.46204644528421,0.1897018970189702
AREQUIPA,1.6430750457596095,86.50975354556661,70.66063048410322,69.84325953858426,30.156740461415737,62.44237483036185,-5.063562850446351,0.5886095199472804
ASCOPE,2.2934362934362933,42.89441527131015,36.51375540803857,89.5505135572509,10.449486442749103,29.95255237403261,-1.4617850650800588,1.5004035216434335
ATALAYA,0.04,11.262263995382966,2.514634347431775,98.2191441998516,1.7808558001484016,5.185918047654381,1.071658241544904,1.1602509955351756
AYABACA,1.5555555555555556,3.0529840456962773,1.1194274834219684,99.5141487755236,0.4858512244763915,1.5527542511982124,1.4125060823736375,0.3649717211247219
AYMARAES,1.6329113924050631,9.193529617130222,5.050622599790527,98.65006400558596,1.3499359944140537,5.198029403778268,1.0674578626198414,0.25103398669304083
BAGUA,7.538461538461538,23.734631147540984,11.20389344262295,96.55737704918032,3.4426229508196684,12.793715846994536,0.3535383015179003,0.41454965357967666
BARRANCA,12.702127659574469,59.27451083250275,43.177883858784035,82.84635157110634,17.15364842889366,39.86868104006015,-2.558450297419012,1.2662656889401551
BELLAVISTA,2.8392857142857144,34.966668957459966,7.511511236341145,96.71500240533295,3.2849975946670327,15.254392596156046,0.2098359159659311,0.5678521291530183
BOLOGNESI,1.870967741935484,7.421531240833088,3.828102082722206,98.4599589322382,1.5400410677618055,4.2632247971057,1.139520885492434,0.5193758127438232
BONGARA,1.236842105263158,21.921182266009858,9.469074986316366,97.6464148877942,2.3535851122058062,11.24794745484401,0.5326159794919725,0.6220444232147122
CAJABAMBA,1.062857142857143,9.366623647374167,7.17263972997121,98.56050828948676,1.439491710513252,5.992918362619544,0.9854074429226198,0.7951866137882327
CAJAMARCA,1.78839590443686,45.05164297792605,37.9221699191079,81.64160687354325,18.358393126456747,33.77740200783023,-2.1113880690224405,0.6947754273616433
CAJATAMBO,0.8,4.492820750347383,1.667438628994905,99.30523390458544,0.6947660954145505,2.285008491585613,1.34376272990056,1.2171189979123174
CALCA,1.4475138121546962,8.771254058218236,4.798327188686513,97.52930171133,2.4706982886700075,5.346759845191586,1.0087272043645812,0.14170123870891813
CANAS,1.044776119402985,1.302405171594258,0.8175682099058846,99.85740089362106,0.14259910637893825,0.7541908292930269,1.489989798878504,0.04561704561704562
CANCHIS,1.1721311475409837,13.647050180001468,8.761296010579677,97.35508044963632,2.6449195503636815,8.351088580314942,0.7418813967145107,0.09030484029573516
CANDARAVE,1,7.956900124326564,3.5640281806879406,99.7513468711148,0.24865312888519495,3.923193811299899,1.2246827895338002,0.10738255033557048
CANGALLO,1.2837837837837838,4.485744867179138,3.425124063442639,99.6302422886056,0.369757711394385,2.7602088806720544,1.3072236796862922,0.12247500167773975
CANTA,0.6071428571428571,21.279373368146217,10.600522193211487,97.2845953002611,2.7154046997388974,11.531766753698866,0.48532739519992946,0.9217826284674852
CARABAYA,3,5.140461215932914,4.20125786163522,99.40461215932916,0.5953878406708526,3.312368972746329,1.2491405396618331,0.1155405179055978
CARHUAZ,1.2871794871794873,14.711989540875184,11.86649234791971,96.80073829116358,3.199261708836417,9.92591453254377,0.5722887903196533,0.4573771364677067
CASMA,2.6476190476190475,38.55504429640821,19.806331982693496,92.67907423940665,7.320925760593369,21.89410067989836,-0.5737289871901571,1.3723516949152543
CASTILLA,1.5394736842105263,31.06796116504854,23.4198533782445,94.0657816524668,5.934218347533189,20.14067763027541,-0.4133231706339074,0.31796875
CASTROVIRREYNA,2.05,4.686884600236314,2.7569909413154785,99.60614415124066,0.393855848759344,2.612577130103712,1.3230783939244002,0.4782047142395867
CAYLLOMA,3.03,48.75146455770357,25.637082601054484,96.17018160515524,3.82981839484475,26.072788517867604,-0.7815521436940148,0.1612449071012607
CAÑETE,2.2595155709342563,60.57915303237285,39.99587000031769,84.9445626965721,15.055437303427894,38.54348677870614,-2.3380776783775397,1.2069837813605726
CHACHAPOYAS,1.0812720848056536,27.016215443960284,16.1582970212158,91.88513465247516,8.114865347524827,17.096459270900304,-0.2190718320081999,0.6683045115180908
CHANCHAMAYO,1.9030732860520096,60.75218589052581,22.62306863097377,94.301113905857,5.698886094143006,29.6913802052142,-1.1077850450452853,0.8721607122474604
CHICLAYO,8.857534246575343,65.1639915539058,55.67142835017217,69.42833984687582,30.571660153124185,50.46902668573406,-4.0565830575452075,1.4803133536374768
CHINCHA,2.196,67.08089753911857,45.13249553680821,81.56089193825042,18.43910806174958,43.550833712558784,-2.9074831813025637,1.137479676131978
CHINCHEROS,1.4,6.932897862232778,5.641330166270784,99.13153206650831,0.8684679334916865,4.480898653998416,1.1371116439976416,0.19897933404072557
CHOTA,3.6607142857142856,17.68354045262,9.075803318589248,96.9458681457558,3.05413185424419,9.93782520848448,0.6025924219090709,0.16390995402161582
CHUCUITO,16.666666666666668,16.231255042706508,9.659739031243914,99.31001864062544,0.6899813593745705,8.860325144441665,0.7829591965057868,0.0673224858967784
CHUMBIVILCAS,1.0130434782608695,4.474576271186441,5.975786924939467,99.28329297820824,0.7167070217917626,3.7223567393058903,1.1974501934073754,0.03671549522913587
CHUPACA,2.034782608695652,41.0614133482894,30.762759394279303,95.2467750981492,4.753224901850814,25.525799214806508,-0.827296854661698,0.4682792099096083
CHURCAMPA,1.078740157480315,4.6999276934201015,3.65664704059498,99.24594566676996,0.7540543332300302,3.0368763557483707,1.2674435584865595,0.18754988028731048
CONDESUYOS,1,17.10580485796624,10.18937834499794,98.5384932070811,1.4615067929188967,9.585563331961026,0.68986303103493,0.2194998310239946
CONDORCANQUI,1.75,2.99505969534788,0.57636887608069165,99.77356937011116,0.22643062988883855,1.2659530671058037,1.4502451256662283,0.10310895607529948
CONTRALMIRANTE VILLAR,1.2075471698113207,42.82411524097457,9.870176062600036,90.78783567490665,9.212164325093369,20.63548520955599,-0.4760090735754775,2.662551440329218
CORONEL PORTILLO,1.556656346749226,25.782031614753553,7.954823362013384,92.11409769003312,7.88590230996688,13.874252428911271,0.10403456733762095,1.2223887608778328
CORONGO,2.5,2.123456790123457,0.9382716049382716,99.80246913580248,0.19753086419753177,1.08641975308642,1.4617079666654254,0.671573137074517
COTABAMBAS,1.2857142857142858,10.474812211425814,4.94107918131073,97.8567982909517,2.1432017090482987,5.853031033928281,0.9842950261890352,0.0970215713437562
CUSCO,1.2472783825816485,52.33750035168009,35.79634440265964,67.03397698605471,32.96602301394529,40.36662258942834,-3.2338731867750226,0.39755913624438377
CUTERVO,1.383838383838384,12.187683612657732,8.15589938725833,98.3044682577432,1.6955317422567902,7.346371580724284,0.864399541037384,0.36801586926746327
DOS DE MAYO,1.148936170212766,3.6445751496691527,2.132128978048524,99.43283268564228,0.5671673143577323,2.114623814025137,1.3580251324558976,0.23892100192678228
EL COLLAO,22.22222222222222,28.823804695421572,16.309180251150458,98.51415646205444,1.4858435379455557,15.539609494839196,0.19067377153851364,0.05571757482732156
EL DORADO,2.363636363636364,26.49656526005888,1.8427652382510085,99.09497328535602,0.9050267146439808,9.748119070984623,0.7764828056990077,0.6283170541965598
ESPINAR,1.096774193548387,17.879278575018148,13.674688704003572,98.21318889943603,1.7868111005639662,11.11359279319523,0.5305834856743414,0.08445376815740123
FERREÑAFE,1.75,26.68367137038713,18.743571810589543,92.98144567408563,7.0185543259143515,17.48193250229701,-0.22192995411172436,0.9478664053075996
GRAU,4.222222222222222,3.424168925667,1.8547581680696248,99.84305892424024,0.1569410757597467,1.8119560564987904,1.4013038649917429,0.1520148407708956
HUACAYBAMBA,2.6470588235294117,0.4358353510895884,0.3389830508474576,99.9273607748184,0.0726392251816037,0.2824858757062166,1.5325100160859684,0.20190610660077657
HUALGAYOC,1.9230769230769231,15.147886480661,9.986827924799426,97.85255258851237,2.147447411487647,9.094053938982691,0.6977723410262165,0.10617654771269876
HUALLAGA,5,37.62120232708468,5.959922430510666,97.50484809308338,2.495151906916618,15.358758888170655,0.2509581902374694,0.7111979484674563
HUAMANGA,3.641975308641975,48.24353957948145,45.10613292055439,86.56031875707673,13.439681242923273,35.596451247653036,-2.0917603369273694,0.21508103758764704
HUANCA SANCOS,1.5333333333333334,6.955922865013774,6.7837465564738295,99.31129476584022,0.6887052341597837,4.809458218549129,1.110493319194058,0.13273287508888362
HUANCABAMBA,2.22,2.9709936358693914,1.1417058428475486,99.45952860660718,0.5404713933928207,1.5510569573699202,1.410004330256093,0.4503789444674108
HUANCAVELICA,1.5404814004376368,25.71375545176158,23.681524328002723,94.03012774907975,5.969872250920233,18.45505067689485,-0.29156694526687105,0.13459374680350503
HUANCAYO,1.510568031704095,66.91360202251815,57.71085045712437,78.39609606961226,21.603903930387744,48.74278547001008,-3.5468626525910696,0.6609567188723977
HUANTA,1.8125,20.020036064916848,15.77239030254458,96.44960929673412,3.550390703265876,13.114272356909105,0.2843563824613423,0.20367473553039744
HUARAL,2.3364055299539173,63.38550945957411,47.25332993976415,82.58038517010266,17.41961482989734,42.6861514097452,-2.8164458760037343,1.2992243499463982
HUARAZ,1.4994617868675997,45.61218876318496,40.54151020115286,81.28393408117869,18.716065918821315,34.95658829438638,-2.2384274857530086,0.5661629255645767
HUARI,0.812206572769953,6.2182906205281645,4.013269155717445,99.06335371406271,0.936646285937286,3.7227353540609656,1.2050266149205668,0.2461527214241328
HUARMEY,1.165289256198347,48.645720476706394,27.63813651137595,88.76489707475623,11.235102925243766,29.17298663777537,-1.3599718649080703,1.2108647159165464
HUAURA,2.3630573248407645,52.93083909537339,39.407426872731456,79.87090840409283,20.12909159590717,37.489119188004,-2.4800605681629304,1.155192923082078
HUAYLAS,1.705521472392638,15.974596971177332,12.387465978086398,95.35208318794054,4.647916812059464,11.00332658710773,0.4228798772422578,1.060697247706422
ICA,1.5424489795918368,71.929526851667,62.10421241764823,74.67258933918946,25.327410660810543,53.12038331004192,-4.077857894911908,1.1269776799629732
ILO,1.8142292490118577,81.42769392769392,69.07248157248156,71.68743418743418,28.312565812565825,59.6042471042471,-4.755833799496531,0.5475931600276762
ISLAY,1.6024096385542168,65.46622542339887,50.866264356628385,83.40146648497826,16.598533515021742,44.31034109834966,-2.933005895218925,0.40345355915358816
JAUJA,1.2222222222222223,28.026282537275716,19.21489343778957,96.39878695981804,3.6012130401819604,16.947463005082415,-0.03417591823984167,0.9410857745678812
JORGE BASADRE,0.875,44.60032626427406,33.898858075040785,74.32300163132138,25.676998368678625,34.72539423599782,-2.4721137780919755,0.2109860248447205
LA MAR,1.471698113207547,18.51328984519521,11.56167851231623,98.28156946743258,1.7184305325674245,10.597799630026287,0.5908053382191261,0.17367998716096936
LAMAS,1.864,33.4481154025128,2.8106095858538858,97.49185667752444,2.508143322475562,12.922289436947414,0.45992770172522934,0.832547776159054
LAMBAYEQUE,1.7241379310344829,35.106929950113255,21.777858065950557,90.06850742742797,9.931492572572026,22.272093529545277,-0.7355626400961127,1.3191430392727477
LAMPA,2.619047619047619,7.058284817164911,5.095833060770589,99.56826061359324,0.4317393864067469,4.195285754780749,1.1826747063712262,0.09433319453382293
LAURICOCHA,1.5,1.5364916773367476,0.8048289738430584,99.83537589171392,0.16462410828607688,0.835314919821961,1.4830747584384036,0.16756878664862426
